"filename", "language", "Markdown", "JSON", "YAML", "Go Checksum File", "Go", "JavaScript", "HTML", "Go Module File", "TypeScript", "TypeScript JSX", "SCSS", "Ignore", "JSON with Comments", "Properties", "XML", "comment", "blank", "total"
"/home/server/NovexPanel/backend/internal/app/settings_handlers.go", "Go", 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 204
"/home/server/NovexPanel/backend/internal/app/terminal_ws_handler.go", "Go", 0, 0, 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39, 359
"/home/server/NovexPanel/backend/internal/app/tls_workers.go", "Go", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 95
"/home/server/NovexPanel/backend/internal/app/utils.go", "Go", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/home/server/NovexPanel/backend/internal/app/ws_handlers.go", "Go", 0, 0, 0, 0, 637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 677
"/home/server/NovexPanel/backend/internal/app/ws_security.go", "Go", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 107
"/home/server/NovexPanel/backend/internal/auth/agent_token.go", "Go", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/home/server/NovexPanel/backend/internal/auth/jwt.go", "Go", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"/home/server/NovexPanel/backend/internal/auth/password.go", "Go", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/server/NovexPanel/backend/internal/config/config.go", "Go", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 151
"/home/server/NovexPanel/backend/internal/models/models.go", "Go", 0, 0, 0, 0, 391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33, 425
"/home/server/NovexPanel/backend/internal/storage/db.go", "Go", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"/home/server/NovexPanel/backend/internal/storage/migrations.go", "Go", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 91
"/home/server/NovexPanel/backend/internal/storage/runbook_seed.go", "Go", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 166
"/home/server/NovexPanel/frontend/.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/home/server/NovexPanel/frontend/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"/home/server/NovexPanel/frontend/README.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 74
"/home/server/NovexPanel/frontend/dprint.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/home/server/NovexPanel/frontend/eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/home/server/NovexPanel/frontend/index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/server/NovexPanel/frontend/nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 2, 16
"/home/server/NovexPanel/frontend/package-lock.json", "JSON", 0, 5160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5161
"/home/server/NovexPanel/frontend/package.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/home/server/NovexPanel/frontend/public/Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"/home/server/NovexPanel/frontend/src/Api/api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/server/NovexPanel/frontend/src/Api/client.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 3, 24
"/home/server/NovexPanel/frontend/src/Api/features/aiGuard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/server/NovexPanel/frontend/src/Api/features/autoHeal.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/home/server/NovexPanel/frontend/src/Api/runbooks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 18, 117
"/home/server/NovexPanel/frontend/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 8, 73
"/home/server/NovexPanel/frontend/src/Hooks/useLoadServers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"/home/server/NovexPanel/frontend/src/Icons/Icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 864, 0, 0, 0, 0, 0, 0, 17, 881
"/home/server/NovexPanel/frontend/src/Icons/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/home/server/NovexPanel/frontend/src/Pages/AIGuard/AIGuardPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 1, 52
"/home/server/NovexPanel/frontend/src/Pages/AIGuard/AIGuardPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 7, 239
"/home/server/NovexPanel/frontend/src/Pages/AutoHeal/AutoHealPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 1, 81
"/home/server/NovexPanel/frontend/src/Pages/AutoHeal/AutoHealPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 11, 81
